postal_code,lat,lon
50374,50.789982,6.7815492
50389,50.8190614,6.9798237
50668,50.9504731,6.9629446
50678,50.9242002,6.9616378
50679,50.9358894,6.979201
50733,50.9644991,6.9549183
50735,50.9893938,6.9609471
50737,50.9940548,6.9283471
50739,50.9819136,6.9182574
50765,51.0203772,6.8678092
50825,50.9550815,6.911613
50931,50.9334631,6.9163629
50933,50.9427809,6.8751054
50935,50.9234984,6.8939984
50937,50.9133344,6.9000696
50968,50.9014161,6.9666561
50996,50.881537,6.9836788
51063,50.9673086,7.0142068
51067,50.9648228,7.0455235
51103,50.9402225,7.0145407
51109,50.9450109,7.0734987
51149,50.9061148,7.0490743
51375,51.035001,7.0644166
51379,51.0727017,7.0058498
51429,50.9683752,7.1848659
51465,50.995022,7.143537
51469,50.9862354,7.1047482
51545,50.8743803,7.6194181
51580,50.955823,7.6952729
51588,50.896149,7.5338711
51643,51.023738,7.5524499
51688,51.1169225,7.419399
51709,51.0765932,7.5416727
51766,50.9859711,7.4179645
52062,50.7761739,6.0858483
52064,50.7695288,6.080207
52066,50.7585018,6.1017674
52074,50.7661997,6.0413608
52146,50.8292627,6.1519607
52152,50.607956,6.3286888
52222,50.7842936,6.2139564
52249,50.8313029,6.2686757
52351,50.7900655,6.512116
52353,50.8322294,6.4498679
52355,50.7816761,6.449366
52428,50.9289884,6.3601925
52511,50.9736448,6.1299737
52525,51.0593129,6.0681085
52538,51.00738,5.9847943
53111,50.7402491,7.0985907
53113,50.720036,7.1222135
53115,50.7231139,7.0893507
53119,50.746546,7.0590838
53123,50.7153888,7.0493221
53127,50.7021391,7.0889846
53129,50.70885,7.1130694
53177,50.6685709,7.1298118
53225,50.7495352,7.1184448
53340,50.6152665,7.0237008
53424,50.6028635,7.1809328
53474,50.5295833,7.1219936
53489,50.5287106,7.2248057
53518,50.3826306,6.946168
53545,50.5795945,7.2973091
53567,50.6684554,7.4269022
53604,50.6553274,7.2810834
53721,50.8038962,7.2308934
53757,50.7699533,7.1900983
53783,50.7651331,7.4452001
53840,50.812116,7.1704381
53844,50.7974348,7.1155495
53879,50.6575091,6.7885086
53894,50.5881722,6.6496611
53909,50.692835,6.6581295
